Numero;Partie;NbJoueurs;Titre;Gagnant;Premium;Vocale;Mumble;Anonyme;Sans Points;Selective;MDJ;Capitaine;VO;VC;St-Patrick;Halloween;Créateur;dateDebut;dateFin;heureDebut;heureFin;Duree;nbVotes;nbDevotes;NbInterventions;Simple Villageois;Loup-Garou;Voyante;Salvateur;Sorcière;Chasseur;Chasseur Bavard;Cupidon;Ancien;Loup-Garou Blanc;Chaman;Voleur;Petite Fille;Idiot du Village;Bouc émissaire;Joueur de Flûte;Enfant Sauvage;Corbeau;Villageois-Villageois;Ange;Infect Père des Loups;Grand Méchant Loup;Soeurs;Montreur d'Ours;Renard;Chien Loup;Frères;Chevalier à l'Epée rouillée;Marionnettiste;Juge Bègue;Voyante Bavarde;Lapin Blanc;Ankou;Noctambule;Couple
3737349;Fun;12;GRAOUUUUUUUUUU;Ange;None;False;False;False;None;None;False;False;False;False;None;None;avadrochz;17/12/2015;17/12/2015;08h53;08h58;5;5;1;32;0;3;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;thirty-Mrjuice
3737350;Fun;12;sans prise tete;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Madifrappe;17/12/2015;17/12/2015;09h03;09h33;29;40;7;169;0;3;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;None
3737351;Fun;15;Luchigal;Joueur de Flûte;None;False;False;False;None;None;False;False;False;False;None;None;Luchigal;17/12/2015;17/12/2015;08h57;09h16;20;16;4;113;0;2;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Yhamm-wayzxd
3737352;Fun;13;GRAOUUUUUUUUUU;Amoureux;None;False;False;False;None;None;False;False;False;False;None;None;avadrochz;17/12/2015;17/12/2015;09h00;09h20;20;18;2;126;0;3;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;thirty-jterabote
3737354;Fun;9;tranquillll;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;samsam3008;17/12/2015;17/12/2015;09h22;09h39;17;28;2;105;0;2;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;wayzxd-Killerbize
3737357;Normale;10;1S3;Villageois;None;False;False;False;None;None;False;False;False;True;None;None;leplusboo;17/12/2015;17/12/2015;09h17;09h30;13;0;0;82;0;3;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;leplusboo-juilaqueen
3737359;Normale;0;TUTORIEL;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; ;01/01/1970;01/01/1970;09h05;09h10;24172330;8;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3737360;Normale;0;TUTORIEL;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; ;01/01/1970;01/01/1970;09h05;09h09;24172330;8;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3737363;Normale;0;TUTORIEL;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; ;01/01/1970;01/01/1970;09h14;09h18;24172339;8;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3737364;Fun;12;Moon VS Sun;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Reden;17/12/2015;17/12/2015;09h18;09h32;13;12;2;83;0;2;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Reden-Llauron
3737366;Carnage;6;Piksyyy's Lover;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Khorane;17/12/2015;17/12/2015;09h21;09h25;4;5;0;17;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Khorane-Cubwolf
3737368;Fun;15;Luchigal;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Luchigal;17/12/2015;17/12/2015;09h21;09h38;18;22;8;142;0;3;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Viggo488-angeliyk
3737369;Fun;14;GRAOUUUUUUUUUU;Loup-Blanc;None;False;False;False;None;None;False;False;False;False;None;None;avadrochz;17/12/2015;17/12/2015;09h27;09h48;21;26;1;184;0;3;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;thirty-jterabote
3737372;Fun;12;Team COOP;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;superluxen;17/12/2015;17/12/2015;09h32;09h47;15;19;2;77;0;2;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;superluxen-Kovalev
3737373;Fun;11;KaDmurex;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;waiser;17/12/2015;17/12/2015;09h44;09h56;11;15;5;46;0;2;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;pottaufeu-fannycham1
3737383;Carnage;6;Piksyyy's Lover;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Khorane;17/12/2015;17/12/2015;09h41;09h44;3;2;0;20;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Celiaposey-Khorane
3737384;Fun;15;Luchigal;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; Luchigal;17/12/2015;17/12/2015;09h41;10h00;19;16;2;121;0;3;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;ettezeb-Elcinco
